sid,base_uuid,exp,n_points,K,visibility,format,group,K_state,stop
exp3_P052,56c594b9-620f-49b9-8302-684c969061da,exp3,30,5,full,voronoi,clustered,5,1
exp3_P052,6da3f9dc-e910-4c46-822b-eebee4448324,exp3,40,4,full,voronoi,clustered,2,0
exp3_P052,6da3f9dc-e910-4c46-822b-eebee4448324,exp3,40,4,full,voronoi,clustered,3,0
exp3_P052,6da3f9dc-e910-4c46-822b-eebee4448324,exp3,40,4,full,voronoi,clustered,4,1
exp3_P052,98dd5bec-729c-46ed-9714-b1e26e817196,exp3,35,4,full,voronoi,clustered,2,0
exp3_P052,98dd5bec-729c-46ed-9714-b1e26e817196,exp3,35,4,full,voronoi,clustered,3,0
exp3_P052,98dd5bec-729c-46ed-9714-b1e26e817196,exp3,35,4,full,voronoi,clustered,4,1
exp3_P052,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp3,35,4,full,voronoi,disperse,2,0
exp3_P052,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp3,35,4,full,voronoi,disperse,3,0
exp3_P052,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp3,35,4,full,voronoi,disperse,4,1
exp3_P052,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp3,40,4,full,voronoi,clustered,2,0
exp3_P052,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp3,40,4,full,voronoi,clustered,3,0
exp3_P052,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp3,40,4,full,voronoi,clustered,4,1
exp3_P052,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp3,30,4,full,voronoi,disperse,2,0
exp3_P052,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp3,30,4,full,voronoi,disperse,3,0
exp3_P052,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp3,30,4,full,voronoi,disperse,4,1
exp3_P052,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp3,35,5,full,voronoi,disperse,2,0
exp3_P052,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp3,35,5,full,voronoi,disperse,3,0
exp3_P052,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp3,35,5,full,voronoi,disperse,4,0
exp3_P052,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp3,35,5,full,voronoi,disperse,5,1
exp3_P052,b3697dbc-04ee-4762-a98d-5773cf0c7e84,exp3,10,2,full,voronoi,clustered,2,1
exp3_P052,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp3,40,4,full,voronoi,disperse,2,0
exp3_P052,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp3,40,4,full,voronoi,disperse,3,0
exp3_P052,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp3,40,4,full,voronoi,disperse,4,1
exp3_P052,a817f837-f86b-4b90-88a3-572342420271,exp3,30,4,full,voronoi,disperse,2,0
exp3_P052,a817f837-f86b-4b90-88a3-572342420271,exp3,30,4,full,voronoi,disperse,3,0
exp3_P052,a817f837-f86b-4b90-88a3-572342420271,exp3,30,4,full,voronoi,disperse,4,1
exp3_P052,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp3,25,4,full,voronoi,disperse,2,0
exp3_P052,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp3,25,4,full,voronoi,disperse,3,0
exp3_P052,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp3,25,4,full,voronoi,disperse,4,1
exp3_P053,339f68e4-98bf-4d4a-81c7-06fa958f307e,exp3,20,2,full,voronoi,clustered,2,1
exp3_P053,b3697dbc-04ee-4762-a98d-5773cf0c7e84,exp3,10,2,full,voronoi,clustered,2,1
exp3_P053,823dc71a-6c2e-42ea-910b-4e53f7bd4a90,exp3,20,2,full,voronoi,disperse,2,1
exp3_P053,8ced8977-7d84-444f-9648-a0c4b65e45ce,exp3,20,2,full,voronoi,clustered,2,1
exp3_P053,37ce66b3-c54a-46ec-981d-96c33e8fba81,exp3,15,2,full,voronoi,disperse,2,1
exp3_P053,e0b28b0d-8194-475b-98a6-6931d1ff1004,exp3,20,2,full,voronoi,clustered,2,1
exp3_P053,e9bc8099-ff66-4017-abd4-33cd8dbcc2d6,exp3,25,2,full,voronoi,clustered,2,1
exp3_P053,4fbeab87-3c1b-44f6-91c7-47cb4e50c315,exp3,15,2,full,voronoi,clustered,2,1
exp3_P053,49f28baf-c341-4fb1-a75b-0ff70240de39,exp3,20,2,full,voronoi,disperse,2,1
exp3_P053,f54baffc-bc26-4c4d-b940-824d08daf230,exp3,15,2,full,voronoi,clustered,2,1
exp3_P053,42d361fa-4736-4e88-983e-5a08e9ba6071,exp3,20,2,full,voronoi,disperse,2,1
exp3_P053,f0443691-d86e-42b0-bb33-d31e77ba24d3,exp3,15,2,full,voronoi,disperse,2,1
exp3_P053,8977f47a-e877-4e8c-aec8-0408550d3baf,exp3,20,2,full,voronoi,disperse,2,1
exp3_P053,7cbebaed-58ae-4abe-b4a2-c59f45bf300a,exp3,10,2,full,voronoi,disperse,2,1
exp3_P053,3088609a-8abd-42eb-9289-926728077ed5,exp3,10,2,full,voronoi,disperse,2,1
exp3_P053,839dbbc1-445d-4298-95c3-38299943cfb6,exp3,10,2,full,voronoi,clustered,2,1
exp3_P053,fccbc907-4526-43e2-8ded-142b804b471a,exp3,10,2,full,voronoi,clustered,2,1
exp3_P053,6b397277-e2cf-4165-9f1a-32aeef65ebbc,exp3,10,2,full,voronoi,clustered,2,1
exp3_P053,2bb1495b-1ef6-4943-bb48-662371f50b30,exp3,25,2,full,voronoi,clustered,2,1
exp3_P053,9960e442-6168-430d-b694-abfb5f4339fa,exp3,15,2,full,voronoi,clustered,2,1
exp3_P053,d26cc3de-4659-421d-a01c-1b05a01a5457,exp3,15,2,full,voronoi,disperse,2,1
exp3_P053,7b7e1f1a-5fe8-4707-8e7e-b29230c53f78,exp3,15,2,full,voronoi,disperse,2,1
exp3_P053,be66f0f4-0431-458a-8aa4-16bc76354c9f,exp3,25,2,full,voronoi,clustered,2,1
exp3_P053,2f452eee-c0bb-437c-bd4e-f35ee9fe9ff6,exp3,25,2,full,voronoi,clustered,2,1
exp3_P053,bf683b51-fa65-450e-8155-5f0af307bf63,exp3,10,2,full,voronoi,disperse,2,1
exp3_P053,cf70fe68-3e60-4947-ad2d-362b96f50a15,exp3,10,2,full,voronoi,disperse,2,1
exp3_P053,3c4d6c38-877b-41d2-b2b5-d2f74ef0970b,exp3,15,2,full,voronoi,clustered,2,1
exp3_P053,37ecaaa0-dbb1-4b98-ad55-ce73229d5866,exp3,20,2,full,voronoi,clustered,2,1
exp3_P053,79a56e1c-89e6-41ff-a3c6-0f4126d8f6a3,exp3,35,2,full,voronoi,clustered,2,1
exp3_P053,ef372ea6-6bfe-4730-a880-e08824b68faa,exp3,30,2,full,voronoi,disperse,2,1
exp3_P053,d764a7da-3857-4975-a325-f83a0b413cc5,exp3,40,2,full,voronoi,disperse,2,1
exp3_P053,87cc45a4-3e2e-4c67-a9d6-3ba04eda2588,exp3,25,2,full,voronoi,disperse,2,1
exp3_P053,6da3f9dc-e910-4c46-822b-eebee4448324,exp3,40,2,full,voronoi,clustered,2,1
exp3_P053,e8770f4c-e648-4512-9529-b68de18f7703,exp3,30,2,full,voronoi,clustered,2,1
exp3_P053,fa83ff0a-5066-4c01-bdf6-909bc3dda074,exp3,35,2,full,voronoi,clustered,2,1
exp3_P053,9e6d1b9d-1ad5-4887-9b04-34fa64ea3ffe,exp3,35,2,full,voronoi,disperse,2,1
exp3_P053,51196345-76b0-41da-9c00-5ecb1a87b408,exp3,30,2,full,voronoi,clustered,2,1
exp3_P053,a817f837-f86b-4b90-88a3-572342420271,exp3,30,2,full,voronoi,disperse,2,1
exp3_P053,f0dc058f-70fd-42c0-b2d0-5b0a93b2efaa,exp3,35,2,full,voronoi,disperse,2,1
exp3_P053,c91f4a09-8df1-4eb3-859a-8dc243343b26,exp3,40,2,full,voronoi,clustered,2,1
exp3_P053,7228f5c0-b49e-4431-9bbb-0bb8c70487cb,exp3,25,2,full,voronoi,disperse,2,1
exp3_P053,d62793d4-4219-4f10-b2aa-86d40192d723,exp3,40,2,full,voronoi,clustered,2,1
exp3_P053,832f32ad-e7bf-4c32-b9a1-17a590595e51,exp3,25,2,full,voronoi,disperse,2,1
exp3_P053,96d4aa75-d671-422c-9390-9242e47507dd,exp3,40,2,full,voronoi,disperse,2,1
exp3_P053,56c594b9-620f-49b9-8302-684c969061da,exp3,30,2,full,voronoi,clustered,2,1
exp3_P053,5c9ae3ec-4b16-4a2a-add3-bc06d78c9e14,exp3,35,2,full,voronoi,disperse,2,1
exp3_P053,3ee7c96c-4a8f-4fbd-8204-12e875fdbe52,exp3,40,2,full,voronoi,disperse,2,1
exp3_P053,0f9a9c80-cdab-4071-8d56-27965b585a10,exp3,35,2,full,voronoi,disperse,2,1
exp3_P053,3808a1ab-27ce-451f-bbd1-525f0e658c07,exp3,30,2,full,voronoi,clustered,2,1
exp3_P053,8b29ef86-ff1a-4abf-b2f1-9672955d44a0,exp3,40,2,full,voronoi,disperse,2,1
exp3_P053,fdb55140-d76a-43e5-b66a-8883dc677b94,exp3,40,2,full,voronoi,clustered,2,1
exp3_P053,98dd5bec-729c-46ed-9714-b1e26e817196,exp3,35,2,full,voronoi,clustered,2,1
exp3_P053,8845809a-0ba9-4c73-8f4e-d60d62ca8418,exp3,30,2,full,voronoi,disperse,2,1
